Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,头条新闻,0.05769058758006125,100.0,1618051664
2,21世纪网,0.05176851851851851,89.73,1644648333
3,中国经营报,0.040974867724867726,71.03,1650111241
4,每日经济新闻,0.03892869784942153,67.48,1649173367
5,大鹏看天下,0.037173989898989894,64.44,1735047885
6,高会民,0.03594907407407407,62.31,2710739767
7,南方日报,0.03536965504037872,61.31,1682207150
8,人民日报,0.0349191798941799,60.53,2803301701
9,Wind资讯,0.031699074074074074,54.95,1901447125
10,南方都市报,0.031501930172653854,54.6,1644489953
11,网易新闻客户端,0.029847465886939567,51.74,1974808274
12,解放日报,0.02658333333333333,46.08,3114175427
13,蓝鲸财经记者工作平台,0.024950231481481483,43.25,1885454921
14,公安部打四黑除四害,0.023300390971114655,40.39,2328516855
15,新闻晨报,0.02327177144249513,40.34,1314608344
16,央视新闻,0.021766793087516775,37.73,2656274875
17,新华视点,0.020812280701754386,36.08,1699432410
18,当时我就震惊了,0.020208333333333335,35.03,1764222885
19,深蓝财经网,0.019553021442495128,33.89,1961718870
20,历史断片,0.018592836257309942,32.23,2256841532
21,经济观察报,0.018144787315511002,31.45,1641561812
22,李开复,0.017835978835978837,30.92,1197161814
23,昆明市长,0.01763372430444799,30.57,3258074703
24,傅蔚冈,0.016666666666666666,28.89,1764452651
25,凤凰博报,0.015966765873015872,27.68,1644307977
26,21世纪经济报道,0.015947089947089946,27.64,1651428902
27,环球时报,0.015884126984126987,27.53,1974576991
28,8099999,0.015666131711855397,27.16,1910019822
29,南都周刊,0.013349867724867723,23.14,1641532820
30,中国新闻网,0.013276401072124756,23.01,1784473157
31,央广网,0.011632566897040581,20.16,1683472727
32,看历史,0.011157407407407408,19.34,1299654943
33,念斌律师,0.011157407407407408,19.34,5114185655
34,聚贤德之淋,0.01102861952861953,19.12,2235090235
35,这不是历史,0.010763888888888889,18.66,2521277214
36,财务第一教室,0.010595238095238095,18.37,2716838151
37,新浪财经,0.009583333333333333,16.61,1638782947
38,新京报,0.009414682539682539,16.32,1644114654
39,医生哥波子,0.00940024366471735,16.29,1228977142
40,光远看经济,0.00889074074074074,15.41,1435160552
41,光明日报,0.008740205785929472,15.15,1402977920
42,ETtoday新聞雲,0.0072379629629629625,12.55,2342024544
43,和讯网,0.007226719576719576,12.53,2000961721
44,青岛公安,0.007222222222222222,12.52,2722031203
45,纪许光,0.007222222222222222,12.52,1710546672
46,鲁国平先生,0.007222222222222222,12.52,1142648704
47,刘胜军改革,0.007222222222222222,12.52,1889213710
48,烈枫,0.006057407407407408,10.5,3109203651
49,映象网,0.006041666666666667,10.47,2027773605
50,最高人民检察院,0.005878252923976608,10.19,5053469079
51,新浪证券,0.005409226190476191,9.38,1642585887
52,浙江在线,0.004483333333333334,7.77,2009113272
53,我和基友的日常,0.004074074074074075,7.06,1799473445
54,讲句真话,0.004074074074074075,7.06,1040445513
55,苏州发布,0.004074074074074075,7.06,2998045524
56,余杭发布,0.0039520833333333335,6.85,3080997970
57,清华南都,0.003916666666666667,6.79,2309846073
58,李牧,0.0037878787878787884,6.57,1402138343
59,宋晓军,0.0037878787878787884,6.57,1265965213
60,人力资源研究,0.003511904761904762,6.09,1914101557
