Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,全球韩流风尚,0.017853817504655495,100.0,2240626070
2,我为韩剧狂,0.01678538175046555,94.02,1640172871
3,腾讯视频,0.015142214241376253,84.81,2591595652
4,MISSHA谜尚,0.014969948192713557,83.85,1721711793
5,爬墙画画,0.01490255760835945,83.47,1339509072
6,追剧全攻略,0.014490594300097259,81.16,1858595532
7,chieri_在中向日葵,0.014468847449476548,81.04,2787079724
8,2014仁川亚运会组委会,0.013693519198058305,76.7,3812364027
9,综艺IN事件编辑部,0.0132159640188329,74.02,3216706870
10,全球美剧电影,0.012528460535756184,70.17,1931358544
11,爱奇艺综艺,0.012499513245505474,70.01,2057074025
12,正常人办不出这种事儿,0.012362945093392022,69.25,2423763501
13,EK-乐在韩国官博,0.012259195873554025,68.66,2588184182
14,新罗免税店,0.011711558183807397,65.6,2074370833
15,Jaejoong_心,0.011600551871683764,64.98,1959742265
16,百度贴吧,0.01128491620111732,63.21,1673450172
17,音悦台,0.01122694422275428,62.88,1698229264
18,PPTV聚力,0.011126629422718809,62.32,1730699777
19,飞花弄晚0,0.011095038574088854,62.14,1404639661
20,PYO_飘,0.011000049376446025,61.61,1765135774
21,影视剧焦圈,0.010989514055156515,61.55,3704673325
22,一只学屌,0.01072731504994075,60.08,1779595382
23,黄石PK,0.010653824759970012,59.67,1639404737
24,优酷娱乐,0.010538707102952911,59.03,1821819697
25,咪蒙,0.010494510145348135,58.78,1626506953
26,安东内铛,0.010399145392162152,58.25,1134238967
27,新浪电视,0.009809580195935553,54.94,1642592432
28,热电影,0.009737157138656699,54.54,1762436132
29,明星微吧,0.009702048417132217,54.34,2547916923
30,小Q韩剧社,0.009647695990755257,54.04,3697276074
31,___JYT___,0.009543761638733704,53.46,1801421004
32,当时我就震惊了,0.009249800478850758,51.81,1764222885
33,爱奇艺,0.009218322994510145,51.63,1731986465
34,土豆韩娱,0.00916983779990824,51.36,5068511692
35,吸血鬼日记TheVampireDiaries,0.009017772550557027,50.51,1815876940
36,湖南卫视芒果捞,0.008997975018059424,50.4,1746580461
37,土豆,0.00824022346368715,46.15,1642270165
38,在在吧官方微博,0.008042092916394593,45.04,2248153225
39,TechWeb,0.007960893854748604,44.59,1642471052
40,破坏大魔皇,0.00792238723681522,44.37,2157913160
41,金在中最高_韩社长特助,0.007891343603634107,44.2,1806508250
42,J_Monkey,0.00781785331366337,43.79,1861030984
43,Eunice_M烨儿,0.0075651769087523284,42.37,1973386437
44,韩国me2day,0.007561579481970544,42.35,2482557597
45,夏河,0.007531258313381219,42.18,1741069204
46,StyleLog,0.007486033519553073,41.93,3176068101
47,允在真爱,0.0074738803200820455,41.86,1750585775
48,奋斗在韩国,0.00746749393799734,41.83,1993305471
49,秋田六千,0.007403292703572034,41.47,3167305545
50,莲藕娃娃,0.007323577967578134,41.02,1741937354
51,我的前任是极品,0.007214684756584198,40.41,2182038504
52,Awesomethings,0.007169459962756052,40.16,3129516717
53,江苏卫视带你看星星,0.0070830270508673914,39.67,5088692893
54,英国时报,0.0070432074133191455,39.45,3099016097
55,唐嫣,0.006907282171910223,38.69,1230663070
56,楠楠思密达哟,0.006805749534450652,38.12,1260582864
57,冷笑话精选,0.006586306500761808,36.89,1644395354
58,围脖心情心语,0.006536312849162011,36.61,1497162881
59,Jaejee_大在在皇额娘,0.006468357061932482,36.23,2201044173
60,李昇基贴吧官方微博,0.006461504466574906,36.19,1748943100
61,金在中萌图库,0.006300938354010981,35.29,2045554467
62,日语学习,0.006264964086193137,35.09,1799773611
63,韩国旅游发展局微博,0.006151226406646009,34.45,2042467747
64,王福重,0.006061452513966481,33.95,1459277820
65,纳兰性急,0.006028561754818738,33.77,1893235105
66,幽默搞笑大王,0.005807063048683161,32.53,1893769523
67,步步惊情,0.005747482358129961,32.19,3235581893
68,Easy_Magazine,0.005705307262569833,31.96,1764457643
69,动漫速递,0.005662138141188421,31.71,3206764310
70,每日韩语,0.005640948902122087,31.6,1583361742
71,Mwave_Official,0.00562197727156403,31.49,1796794241
72,假装在纽约,0.00561502898095077,31.45,1645101450
73,笑脸的孩子,0.005473530194200586,30.66,1949606330
74,谷大白话,0.005426421033962934,30.39,1788911247
75,华语音悦Tai,0.005349162011173185,29.96,1835254597
76,梧桐诗恩,0.005240868884374471,29.35,1570966694
77,凤凰娱乐,0.005168125340225458,28.95,1900552512
