Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,LOVE_开拓者,0.11195562770562774,100.0,1957263290
2,林书豪吧微博,0.08390562770562772,74.95,2641855933
3,LOVE_火箭,0.0677813852813853,60.54,1983655155
4,CCTV篮球公园,0.06560916305916306,58.6,1805655167
5,科比庄园社区,0.05396428571428573,48.2,1658770173
6,虎扑篮球,0.052440909090909094,46.84,1642292081
7,LOVE_热火,0.046248051948051955,41.31,1949449460
8,阿迪达斯篮球,0.045898484848484855,41.0,1741473184
9,钱德勒帕森斯,0.04398138528138529,39.28,2687122942
10,NBA,0.042026262626262634,37.54,1883881851
11,乐视篮球,0.040918686868686875,36.55,5058390436
12,新浪体育视频,0.03975959595959597,35.51,1271638160
13,CCTV5,0.03345757575757576,29.88,2993049293
14,张海彦,0.03175757575757576,28.37,1250188552
15,黎双富,0.03163492063492064,28.26,1845935593
16,林书豪球迷中心,0.030948051948051954,27.64,2209298220
17,杨毅,0.02622582972582973,23.43,1036663592
18,声色NBA,0.02467424242424243,22.04,2022171303
19,超级大嘴泉,0.02386471861471862,21.32,1228293531
20,苏群,0.02313492063492064,20.66,1156966391
21,JeremyLin林书豪,0.021340476190476194,19.06,2106855375
22,新浪NBA,0.021111111111111115,18.86,1736329970
23,马健0820,0.018750000000000003,16.75,1840987625
24,新浪体育,0.00977777777777778,8.73,1638781994
25,波特兰开拓者por,0.008833333333333335,7.89,3800482827
