Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,南方日报,0.08593954248366012,100.0,1682207150
2,英国时报,0.058370098039215675,67.92,3099016097
3,环球时报,0.04968954248366013,57.82,1974576991
4,浙江卫视中国蓝,0.04816176470588234,56.04,1288369910
5,一只学屌,0.04730949197860962,55.05,1779595382
6,我与老公的日常,0.04730949197860962,55.05,2995631244
7,皖江晚报,0.04691176470588235,54.59,1398613133
8,新闻晨报,0.04357843137254901,50.71,1314608344
9,沈三废,0.035642825311942954,41.47,1680078915
10,耗这口,0.03545343137254901,41.25,1670032377
11,这里是美国,0.03441176470588235,40.04,2243807243
12,现代快报,0.03321226975638741,38.65,1656737654
13,美剧迷,0.03218954248366013,37.46,1639483893
14,时代迷思,0.031684491978609626,36.87,1406387602
15,Happy张江,0.031495098039215685,36.65,2709577332
16,人民日报,0.03093954248366013,36.0,2803301701
17,楚楼小脸大队长,0.030642825311942956,35.66,1961386573
18,博露齿一笑,0.029411764705882353,34.22,1676910563
19,美剧微吧,0.028212269756387402,32.83,2823470493
20,人民网,0.023856209150326796,27.76,2286908003
21,八卦_我实在是太CJ了,0.021962269756387404,25.56,1742121542
22,新浪娱乐,0.016911764705882352,19.68,1642591402
23,步步惊情,0.016911764705882352,19.68,3235581893
24,观察者网,0.016911764705882352,19.68,1887344341
25,山口久美子老师,0.01670343137254902,19.44,1687764551
26,幻灭妖僧,0.01501782531194296,17.47,2796627290
27,华尔街日报中文网,0.014828431372549019,17.25,1649159940
28,大咕咕咕鸡,0.014809491978609625,17.23,2146965345
29,钱江晚报,0.013578431372549021,15.8,1700720163
30,趴体男神,0.010851158645276292,12.63,1622746384
31,中国青年报,0.010661764705882353,12.41,1726918143
32,武艺,0.010661764705882353,12.41,1748693152
33,我的前任是个极品,0.00857843137254902,9.98,2430259303
34,东南亚这些事,0.007189542483660131,8.37,2651371347
