Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,LOVE火箭熊4ever,0.11049242424242424,100.0,1685943632
2,张海彦,0.0918641774891775,83.14,1250188552
3,我爱科比论坛,0.08795454545454545,79.6,1714397395
4,LOVE_火箭,0.07645562770562771,69.2,1983655155
5,林书豪吧微博,0.07162608225108225,64.82,2641855933
6,虎扑篮球,0.06702651515151514,60.66,1642292081
7,天天都看球的孟晓琦,0.05994318181818182,54.25,1846904563
8,声色NBA,0.04775432900432901,43.22,2022171303
9,乐视篮球,0.04292478354978355,38.85,5058390436
10,kobepau,0.042234848484848486,38.22,1663907211
11,CNTV体育台,0.03257575757575758,29.48,1819318401
12,NBA,0.03234577922077922,29.27,1883881851
13,休斯敦火箭,0.03229978354978355,29.23,3802896629
14,NBA奶油,0.030965909090909093,28.03,2637708817
15,CCTV5,0.030689935064935066,27.78,2993049293
16,新浪体育视频,0.027516233766233765,24.9,1271638160
17,苏群,0.025170454545454544,22.78,1156966391
18,NBA篮球国度,0.02291666666666667,20.74,1842136381
19,JeremyLin林书豪,0.02195075757575758,19.87,2106855375
20,新浪NBA,0.017167207792207793,15.54,1736329970
21,cspn,0.01647727272727273,14.91,2076795207
22,新浪体育,0.011647727272727275,10.54,1638781994
