Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,刘同,0.16452380952380952,100.0,1670697373
2,清华大学微博协会,0.13416666666666666,81.55,2001981217
3,思想聚焦,0.12202380952380952,74.17,1742566624
4,八哥专用,0.10684523809523809,64.94,2057769762
5,咸贵人,0.08660714285714285,52.64,1994998151
6,我与老公的日常,0.07345238095238095,44.65,2995631244
7,清华南都,0.06130952380952381,37.26,2309846073
8,silver是水果味儿的,0.056249999999999994,34.19,1559236912
9,中国娱乐报道官微,0.043095238095238096,26.19,1623533817
10,中国政法大学,0.04107142857142857,24.96,1853914071
11,周冬雨,0.030952380952380953,18.81,1916655407
12,新浪教育,0.030952380952380953,18.81,1225314032
13,耗这口,0.02589285714285714,15.74,1670032377
14,扯蛋帝,0.02285714285714286,13.89,3167374242
