Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,烈枫,0.09392120181405895,100.0,3109203651
2,全球安卓报道,0.05356881214024071,57.04,3871307373
3,nubia智能手机,0.05255690737833595,55.96,2156294570
4,3G门户手机频道,0.04970578231292517,52.92,1849884784
5,猫眼分享,0.043594322344322346,46.42,2963499524
6,布鲁卡,0.04242970521541951,45.18,1695936437
7,安卓论坛,0.04185962846677132,44.57,1796445350
8,魅族社区,0.03950000000000001,42.06,2992465674
9,科技美学,0.03652210884353742,38.89,1094293345
10,肥威VV,0.03454500261643119,36.78,1778375693
11,煮机网,0.03403571428571429,36.24,1685945712
12,最牛傻蛋,0.032879251700680276,35.01,1748731071
13,哲野狂人,0.03271541950113379,34.83,1360575977
14,手机全球汇,0.03215497994069423,34.24,1898587152
15,爱搞机,0.030911782661782666,32.91,2708473010
16,张永华HUA,0.029292735042735045,31.19,1759443497
17,科技全球汇,0.02857142857142857,30.42,1772562571
18,ePrice比价王,0.026449764521193093,28.16,1800356282
19,豆子发了芽,0.024851473922902496,26.46,2103472401
20,C科技,0.023250218035932323,24.76,1823630913
21,互联网的那点事,0.021332417582417582,22.71,1627825392
22,沫薇Alysa,0.01888605442176871,20.11,3383846112
23,极客村,0.018452380952380953,19.65,1870795791
24,猴大宝,0.018452380952380953,19.65,1412758841
25,罗永浩锤子手机,0.018123233908948193,19.3,2456347574
26,雷军,0.017949764521193092,19.11,1749127163
27,况忠琪,0.016659863945578234,17.74,1626112207
28,IT之家,0.015850340136054422,16.88,1826017320
29,科技新一,0.015214285714285715,16.2,2827386331
30,黎万强,0.012612244897959184,13.43,2202311361
31,数字尾巴,0.011841269841269843,12.61,1726544024
32,杨颜,0.010357142857142856,11.03,3805445981
33,午后狂睡_Silent,0.007321428571428572,7.8,1253846303
34,爱范儿,0.007321428571428572,7.8,1642720480
35,李成东V,0.00630952380952381,6.72,1589153251
