Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,林更新,0.10549019607843137,100.0,1730726637
2,新闻晨报,0.08549019607843136,81.04,1314608344
3,糗事大百科,0.08549019607843135,81.04,1720084970
4,电影通缉令,0.0838235294117647,79.46,1737650455
5,八卦_我实在是太CJ了,0.06763305322128851,64.11,1742121542
6,电影工厂,0.06596638655462184,62.53,1757353251
7,Mike隋,0.06596638655462184,62.53,1686659730
8,同桌的妳电影,0.06346638655462183,60.16,2711396713
9,剑神葡萄,0.06215686274509804,58.92,1253318443
10,马伊琍,0.058823529411764705,55.76,1196235387
11,冷笑话精选,0.05096638655462185,48.31,1644395354
12,当时我就震惊了,0.045490196078431376,43.12,1764222885
13,青浦警坛小金,0.04096638655462185,38.83,1454461772
14,周冬雨,0.038466386554621854,36.46,1916655407
15,我的前任是个极品,0.035490196078431374,33.64,2430259303
16,韩寒,0.025490196078431372,24.16,1191258123
17,大鹏董成鹏,0.018823529411764708,17.84,1666680885
