Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,大佬鸣,0.024956616630074993,100.0,1374657862
2,足夜思远,0.022321805474790547,89.44,1830327915
3,华视中超,0.021398714780244632,85.74,3194527740
4,广州恒大足球俱乐部,0.01958482300081868,78.48,1894798092
5,搜狐体育,0.018835085416242136,75.47,3049742854
6,JD京东-中超,0.01797402638820549,72.02,3224670990
7,韩国足球新闻,0.017506811182184313,70.15,1855113077
8,Wind资讯,0.017081021176170427,68.44,1901447125
9,广州富力足球俱乐部,0.017045018795902533,68.3,2456231390
10,劲撑广州队,0.016416841728359798,65.78,1885566482
11,CSL中超联赛,0.016028910248126662,64.23,1800991937
12,广州微吧,0.014395174166629388,57.68,1760357024
13,乐视体育国内足球,0.01417567817754385,56.8,5058389402
14,乐视体育,0.01403297365983933,56.23,2710878191
15,讲波佬陈曦,0.01394551499495529,55.88,1733101081
16,永乐票务体育,0.013724176288492861,54.99,2132531555
17,上海热线申花频道,0.013327465826483892,53.4,2642818571
18,都叫我小孟,0.013323658099777501,53.39,1850699600
19,搜狐新闻客户端,0.013020611229566452,52.17,2083844833
20,广州日报,0.012991390864525191,52.06,1887790981
21,乐视体育直播,0.01274113510867242,51.05,3957424069
22,羊城晚报,0.0124325777870554,49.82,1497087080
23,北京体育广播FM1025,0.012334291744739503,49.42,1858865470
24,南方都市报,0.01194195729643491,47.85,1644489953
25,嘉士伯,0.011537480832207854,46.23,1780524194
26,東莞球迷聯盟,0.011214106167464375,44.93,1572081403
27,9号李毅大帝,0.011181047775215098,44.8,2018220685
28,评述员詹俊,0.011019157873635487,44.15,1664207987
29,华西都市报,0.011006711986189598,44.1,1496814565
30,人民日报,0.010719525085196727,42.95,2803301701
31,广州恆大球迷论坛网,0.010643735203436694,42.65,1201016517
32,搜达足球,0.010165206236985497,40.73,1341902602
33,恒大星光音乐狂欢节,0.009929519071310115,39.79,3774252635
34,网易体育频道,0.009745765221511488,39.05,2757394263
35,赵震JAMES,0.009675513127005663,38.77,1035933493
36,启辰汽车,0.00962752835887164,38.58,2101359450
37,丹尼仔D14,0.009601027600094764,38.47,1890650377
38,东方今报,0.00948901326699834,38.02,1672519561
39,阿迪达斯足球,0.009485351920053411,38.01,1741471715
40,曼联新闻,0.009250702655553401,37.07,1990895721
41,足球报官方微博,0.009079081469939677,36.38,1716376363
42,鲁能足球新闻,0.009049099739398245,36.26,1990339525
43,新浪房产,0.008856286748077794,35.49,1069205631
44,郜林,0.008796091313766097,35.25,1803658131
45,国安新闻,0.00858982953199371,34.42,1989688697
46,上海申鑫足球队官方微博,0.008194326059948603,32.83,2050026257
47,强强中的刘阳,0.008187633262260127,32.81,2105765022
48,拜仁新闻,0.008097607202084814,32.45,1990905835
49,太阳神集团,0.0080393487109905,32.21,1880569142
50,CCTV5,0.008010686627242008,32.1,2993049293
51,廣州球迷聯盟官方微博,0.00793444259763977,31.79,1900047770
52,皇马新闻,0.007810649135276,31.3,1990309453
53,宋延庆,0.00775101763907734,31.06,1275740357
54,Vista看天下,0.007734541577825159,30.99,1323527941
55,搜达中超,0.0077341543199752165,30.99,2052668832
56,CNTV体育台,0.007718776662806512,30.93,1819318401
57,黄瓜园社区,0.007486427511564981,30.0,2543678527
58,乐视体育国安频道,0.0073054196719750525,29.27,2893551944
59,广州足球新闻,0.007252892215578781,29.06,2041593835
60,绿地申花官方微博,0.0069458525185646155,27.83,1650107735
61,挂住树叶,0.006885063319764813,27.59,1785479911
62,上海电台990体育新闻,0.0068481083593023885,27.44,1407445850
63,张琳芃,0.006634981279521734,26.59,1826628633
64,南都深圳读本,0.006629730137192823,26.57,1901967554
65,西关醉雅轩,0.006364810562571757,25.5,2676212531
66,宋词,0.006246890547263682,25.03,1256280295
67,yes茶餐厅,0.006233600561958771,24.98,2511854402
68,江西日报,0.005982587064676617,23.97,1991123083
69,懂球帝,0.005932243544183842,23.77,1668293725
70,曼城队新闻,0.005854803364131722,23.46,2332799695
71,新浪新闻客户端,0.005797301786107756,23.23,2318910945
72,深圳交警,0.00576107557450841,23.08,1792702427
73,中国足球报道,0.005630182421227197,22.56,2060903445
74,见闻实时新闻,0.005595927704136658,22.42,2772291221
75,东方早报,0.0055725162068445645,22.33,1698823241
