Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,动漫速递,0.14500000000000002,100.0,3206764310
2,顾蓝歌,0.145,100.0,2405584352
3,风吹鸡巴蛋打颤,0.12825757575757576,88.45,2530520950
4,我与老公的日常,0.12568181818181817,86.68,2995631244
5,一起神回复,0.08704545454545455,60.03,1895964183
6,机智的大马猴子,0.08704545454545455,60.03,2080244437
7,电影通缉令,0.06772727272727273,46.71,1737650455
8,善财神,0.058712121212121215,40.49,1219461122
9,纳兰性急,0.054848484848484855,37.83,1893235105
10,正常人办不出这种事儿,0.052272727272727276,36.05,2423763501
11,当时我就震惊了,0.048409090909090915,33.39,1764222885
