Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,库里中文网CURRY,0.17632936507936509,100.0,2485122903
2,我爱科比论坛,0.12428854875283446,70.49,1714397395
3,虎扑篮球,0.11720521541950114,66.47,1642292081
4,NBA,0.10178571428571427,57.72,1883881851
5,NBA大图,0.08010204081632653,45.43,2432009827
6,詹姆斯吧官方微博,0.07513888888888888,42.61,2193518494
7,张海彦,0.06660997732426303,37.78,1250188552
8,LOVE_火箭,0.05996031746031746,34.0,1983655155
9,刘语熙rachel,0.04984126984126984,28.27,1743519310
10,篮球教学论坛,0.039625850340136055,22.47,2357832895
11,苏群,0.037698412698412696,21.38,1156966391
12,新浪NBA,0.03456632653061224,19.6,1736329970
13,黎双富,0.01938775510204082,11.0,1845935593
14,波特兰开拓者por,0.01746031746031746,9.9,3800482827
