Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,同桌的妳电影,0.057555367337976025,100.0,2711396713
2,林更新,0.047949604743083,83.31,1730726637
3,我的前任是极品,0.03477484472049689,60.42,2182038504
4,假装在纽约,0.03340652905870297,58.04,1645101450
5,胡夏,0.02998462889767238,52.1,1704091601
6,刘同,0.029539337474120086,51.32,1670697373
7,新浪电影,0.027691511387163564,48.11,1623886424
8,看电影周刊,0.026811594202898553,46.58,1769684987
9,橘話,0.02496376811594203,43.37,2569274225
10,芙蓉姐姐,0.02358523119392685,40.98,1265057942
11,微音乐,0.02177206851119895,37.83,3252743925
12,伟大的安妮,0.020960144927536235,36.42,1854627907
13,人民日报,0.02065217391304348,35.88,2803301701
14,-Fashionbaby,0.02034420289855073,35.35,1765813640
15,治愈系心理学,0.0201731078904992,35.05,1097201945
16,猫扑,0.01971892841458059,34.26,1660452532
17,八哥专用,0.019205198987807686,33.37,2057769762
18,中国娱乐报道官微,0.01919631093544137,33.35,1623533817
19,囚清,0.018701690821256042,32.49,1801986484
20,那些年那些鸟事,0.018599033816425123,32.32,1890551363
21,电影催眠大师,0.018599033816425123,32.32,5014897108
22,八卦_我实在是太CJ了,0.017768000920174835,30.87,1742121542
23,Awesomethings,0.017572463768115946,30.53,3129516717
24,江西日报,0.015724637681159424,27.32,1991123083
25,大公報-大公網,0.015612648221343875,27.13,1895431523
26,彭宥纶觉得没意思,0.015519323671497587,26.96,1778153221
27,魏晨,0.015372670807453418,26.71,1291843462
28,杨澜访谈录,0.014492753623188408,25.18,1345625994
29,新浪娱乐,0.014492753623188408,25.18,1642591402
30,胡夏官方粉丝团,0.014492753623188408,25.18,1758678855
31,一句心情签名,0.014492753623188408,25.18,2305056670
32,周冬雨,0.014439425308990528,25.09,1916655407
33,霧霭少女,0.014082125603864735,24.47,3188576972
34,missA佳,0.013876811594202901,24.11,1802626467
35,英国时报,0.01267914653784219,22.03,3099016097
36,Karen莫文蔚,0.011916996047430833,20.71,1722656062
37,冷夜八客,0.011848558044210217,20.59,3189684122
38,刘同同学后援会,0.011506368028107158,19.99,2092735585
39,致我们呼啸而过的青春,0.011506368028107158,19.99,2212188093
40,经典丶微小说,0.011413043478260871,19.83,2300716454
41,少女醫生,0.008949275362318841,15.55,2721695512
42,谁感动了你,0.008734184495054061,15.18,2856943142
43,我的厕所读物,0.008333333333333335,14.48,5126427168
44,微博搞笑排行榜,0.008333333333333335,14.48,1713926427
45,成都商报,0.008333333333333335,14.48,1700648435
46,宅腐集中营,0.008333333333333335,14.48,1886419032
47,南昌资讯,0.008333333333333335,14.48,2054990551
48,Mike隋,0.008186680469289165,14.22,1686659730
49,新浪娱乐客户端,0.007400087834870444,12.86,3935838033
50,清华南都,0.007400087834870444,12.86,2309846073
51,范世錡xxxF,0.007306763285024155,12.7,2172653252
52,一起去旅行,0.007306763285024155,12.7,1934303255
53,王啸坤,0.007160110420979987,12.44,1653382134
54,南笙,0.007082339962774746,12.31,1649616130
55,新手指南,0.006373517786561265,11.07,2671109275
56,NewBalance中国,0.0062801932367149765,10.91,1773525641
57,思想聚焦,0.006109098228663446,10.61,1742566624
58,华尔街日报中文网,0.0053469477382520865,9.29,1649159940
59,56网,0.005253623188405798,9.13,1649666132
60,广州长隆欢乐世界,0.005253623188405798,9.13,1785732764
61,音乐风云榜榜单,0.004227053140096619,7.34,1742968055
62,GEM鄧紫棋,0.004227053140096619,7.34,1705586121
63,FASHION发现,0.003405797101449276,5.92,2204680447
64,电影票房,0.003293807641633729,5.72,1864135524
65,马伯庸,0.003293807641633729,5.72,1444865141
66,高希希,0.003293807641633729,5.72,1322373644
67,途牛旅游网,0.00320048309178744,5.56,1286659964
68,笔寞,0.00320048309178744,5.56,2780466900
69,公元1874,0.0030538302277432717,5.31,1734658782
