name,color
我爱科比论坛,#999999
苏群,#984EA3
新浪体育视频,#E41A1C
CNTV体育台,#377EB8
虎扑篮球,#A65628
新浪NBA,#FFFF33
NBA篮球国度,#984EA3
NBA奶油,#A65628
天天都看球的孟晓琦,#F781BF
LOVE火箭熊4ever,#A65628
NBA,#E41A1C
新浪体育,#E41A1C
LOVE_火箭,#E41A1C
kobepau,#FF7F00
cspn,#E41A1C
休斯敦火箭,#377EB8
张海彦,#FF7F00
乐视篮球,#FF7F00
CCTV5,#999999
声色NBA,#377EB8
林书豪吧微博,#F781BF
JeremyLin林书豪,#A65628
