name,color
IT之家,#FFFF33
魅族汇,#999999
C科技,#984EA3
科技Phone汇,#FF7F00
Zealer中国,#377EB8
TechWeb,#999999
cnBeta,#FF7F00
搞机小公主,#999999
哲野狂人,#984EA3
罗永浩锤子手机,#F781BF
午后狂睡_Silent,#984EA3
杨颜,#E41A1C
科技美学,#FFFF33
凤凰数码,#984EA3
Flyme应用中心,#999999
豆子发了芽,#FFFF33
科技全球汇,#F781BF
万能的大熊,#F781BF
幻想曲通讯,#FFFF33
安卓论坛,#E41A1C
奥卡姆剃刀,#984EA3
况忠琪,#FF7F00
3G门户手机频道,#984EA3
耳机林sir,#999999
猫眼分享,#999999
猴大宝,#999999
最牛傻蛋,#4DAF4A
全球安卓报道,#E41A1C
vivo智能手机,#A65628
nubia智能手机,#4DAF4A
