name,color
王晓渔,#F781BF
王福重,#FF7F00
中国企业家杂志,#F781BF
21世纪经济报道,#FF7F00
沈东军,#984EA3
NASA中文,#4DAF4A
胡锡进,#E41A1C
鲁国平先生,#377EB8
袁腾飞,#377EB8
中国新闻周刊,#4DAF4A
中国国际救援队,#FFFF33
财新网,#377EB8
壹读,#984EA3
老榕,#4DAF4A
新闻晨报,#E41A1C
大鹏看天下,#377EB8
新周刊,#984EA3
成都发布,#F781BF
王长田,#F781BF
中国经营报,#E41A1C
中国新闻网,#E41A1C
观察者网,#FFFF33
