name,color
全球美剧电影,#4DAF4A
笑脸的孩子,#377EB8
黄石PK,#FF7F00
留几手,#FFFF33
电影工厂,#377EB8
韩国me2day,#4DAF4A
荞麦chen,#FF7F00
PYO_飘,#984EA3
英国时报,#E41A1C
莲藕娃娃,#FF7F00
土豆韩娱,#FFFF33
阿信,#A65628
同程网,#984EA3
未满十八周岁者禁止关注,#E41A1C
纳兰性急,#4DAF4A
Mwave_Official,#F781BF
米兔的韩流生活,#E41A1C
允在真爱,#FF7F00
EK-乐在韩国官博,#E41A1C
淫领全球扇妓生活,#FF7F00
宁桓宇,#999999
每日韩语,#F781BF
来自星星的你,#377EB8
一只学屌,#A65628
我爱记歌词,#377EB8
StyleLog,#377EB8
TFBOYS-王源,#377EB8
王珞丹,#377EB8
反裤衩阵地,#4DAF4A
在首尔杂志社,#F781BF
全球电影收录,#999999
网易新闻客户端,#A65628
王翔wendy,#984EA3
音悦台,#FFFF33
搜狐韩娱,#4DAF4A
暖日呀呀,#4DAF4A
金玉良缘微吧,#E41A1C
奋斗在韩国,#984EA3
人萌如菊,#377EB8
全球韩流风尚,#984EA3
北美省钱快报,#4DAF4A
Baidu李钟硕吧官博,#FFFF33
步步惊情,#FF7F00
那些感人的情书,#FF7F00
综艺IN事件编辑部,#A65628
环球时报,#999999
毅咝不挂,#377EB8
韩星网,#A65628
新罗免税店,#A65628
影视剧焦圈,#377EB8
飞花弄晚0,#E41A1C
Zealer中国,#F781BF
PPTV聚力,#A65628
新浪电视,#984EA3
我为韩剧狂,#FFFF33
酱汁儿肉,#E41A1C
金在中萌图库,#FFFF33
知电影,#FF7F00
破产姐妹,#984EA3
小Q韩剧社,#377EB8
董洁林,#E41A1C
围脖心情心语,#FFFF33
新浪新闻视频,#A65628
冷笑话精选,#984EA3
爱奇艺娱乐,#FFFF33
韩国旅游发展局微博,#984EA3
伊甸园美剧新闻,#984EA3
影视打分,#F781BF
吸血鬼日记TheVampireDiaries,#984EA3
吸血鬼日记,#FFFF33
MISSHA谜尚,#E41A1C
夢想家林志穎,#F781BF
美剧迷,#984EA3
于正1978,#E41A1C
土豆,#E41A1C
Jaejoong_心,#E41A1C
夏河,#FF7F00
韩流台,#F781BF
韩剧Triangle官博,#984EA3
梦遗唐朝,#377EB8
维多利亚的秘密吧,#4DAF4A
李沁,#F781BF
直桃桃淘电影,#999999
狂愛kuangaiTVB,#FF7F00
爱奇艺综艺,#999999
明道,#F781BF
张纯烨微博,#E41A1C
Eunice_M烨儿,#999999
江苏卫视带你看星星,#F781BF
韩国驻华大使馆,#984EA3
王福重,#4DAF4A
新浪娱乐,#E41A1C
凤凰天使-轮回,#A65628
Awesomethings,#4DAF4A
编剧徐伊亮,#F781BF
这里是美国,#377EB8
TechWeb,#984EA3
新快报,#A65628
Demon_Bom,#FF7F00
辽宁卫视,#984EA3
李昇基贴吧官方微博,#4DAF4A
斯道,#984EA3
秋田六千,#4DAF4A
湖南卫视芒果捞,#377EB8
某hi,#4DAF4A
谷大白话,#377EB8
人民日报,#E41A1C
明星微吧,#A65628
何炅,#FFFF33
爬墙画画,#999999
管阿姨,#999999
韩都衣舍东方神起粉丝团,#4DAF4A
日语学习,#A65628
爱奇艺,#A65628
J_Monkey,#4DAF4A
古川雄辉,#999999
环球人物杂志,#FF7F00
___JYT___,#999999
北美吐槽君,#F781BF
小智MAX,#E41A1C
动漫速递,#A65628
华语音悦Tai,#F781BF
chichi-KJJholic,#4DAF4A
大在在媳妇,#E41A1C
优酷,#E41A1C
金在中最高_韩社长特助,#F781BF
在在吧官方微博,#4DAF4A
chieri_在中向日葵,#4DAF4A
追剧全攻略,#F781BF
楠楠思密达哟,#A65628
央视新闻,#F781BF
实用小百科,#4DAF4A
Vlinkage,#F781BF
幽默搞笑大王,#FF7F00
猫扑,#4DAF4A
百度贴吧,#FF7F00
微博搞笑排行榜,#999999
李钟硕资讯台,#A65628
Easy_Magazine,#FF7F00
STAR_LENG_金在中一切顺利,#FF7F00
赵薇,#E41A1C
梧桐诗恩,#999999
湖南卫视花儿与少年,#377EB8
破坏大魔皇,#F781BF
顾剑,#999999
插班生小明明,#984EA3
优酷娱乐,#FFFF33
横店影视城娱乐频道,#999999
当时我就震惊了,#984EA3
允在_猫猫,#FFFF33
腾讯视频,#A65628
大麦网韩国站,#FFFF33
新浪音乐,#377EB8
豆瓣电影,#F781BF
18姐微博,#E41A1C
正常人办不出这种事儿,#377EB8
唐嫣,#A65628
进击吧-李钟硕,#377EB8
朴勋的女人,#4DAF4A
Angela-ooo,#999999
JYJ资讯台,#4DAF4A
我的前任是极品,#377EB8
新浪韩娱,#377EB8
英雄联盟LOL百度贴吧,#999999
凤凰娱乐,#4DAF4A
热电影,#999999
咪蒙,#FFFF33
荔枝FM,#4DAF4A
兰芝中国,#FFFF33
LuHanStory_鹿晗图频博,#A65628
2014仁川亚运会组委会,#4DAF4A
大爱RunningMan,#FF7F00
M大王叫我来巡山,#A65628
安东内铛,#F781BF
玩转instagram,#377EB8
金秀贤粉丝堆,#E41A1C
韩流韩剧音乐,#FF7F00
假装在纽约,#FF7F00
Jaejee_大在在皇额娘,#FFFF33
