name,color
IT之家,#A65628
C科技,#FF7F00
全球iPhone官网,#4DAF4A
爱搞机的小nv孩,#999999
爱搞机,#FF7F00
哲野狂人,#999999
罗永浩锤子手机,#F781BF
机锋,#377EB8
欧朋浏览器,#999999
Carter-Chan,#984EA3
豆子发了芽,#F781BF
手机中国联盟官博,#FF7F00
李楠或kkk,#377EB8
电商行业,#984EA3
IT168手机频道,#FFFF33
安卓网,#377EB8
手机中国,#E41A1C
华为终端官方微博,#999999
杀价帮FView,#377EB8
况忠琪,#FF7F00
palm大叔,#984EA3
耿琪伟,#FFFF33
耳机林sir,#377EB8
建华Wei业,#984EA3
Happy张江,#999999
猴大宝,#FFFF33
数字尾巴,#377EB8
vivo智能手机,#FF7F00
猫眼分享,#FFFF33
老麦煮机,#A65628
广东移动10086官方微博,#FFFF33
魅族汇,#FFFF33
MakeitPossible,#FFFF33
Zealer中国,#E41A1C
上海移动10086官方微博,#A65628
36氪,#F781BF
杨颜,#FF7F00
搞机圈,#4DAF4A
搞机老王,#F781BF
科技全球汇,#4DAF4A
手机全球汇,#F781BF
雷军,#A65628
原道数码,#A65628
电脑报,#E41A1C
王奔宏,#984EA3
河南移动10086,#377EB8
罗永浩,#A65628
袁炫华,#999999
安卓全球汇,#A65628
公民大李,#984EA3
新浪手机,#F781BF
搞机史迪仔-小B,#377EB8
驱动之家,#A65628
苹果汇,#E41A1C
集微网官网,#F781BF
魅族迷,#FFFF33
幻想曲通讯,#A65628
安卓论坛,#E41A1C
布鲁卡,#4DAF4A
猫扑数码,#E41A1C
火狐,#377EB8
河南移动手机达人,#FFFF33
Flyme音乐,#999999
100JIA手机,#FFFF33
最牛傻蛋,#FFFF33
锋潮_A6,#F781BF
华为荣耀,#984EA3
科技新一,#377EB8
IT程序猿,#984EA3
魅族社区,#999999
飞象网项立刚,#999999
搞机圈老王,#984EA3
C数码,#377EB8
Flyme应用中心,#999999
黄章,#E41A1C
06peng,#A65628
中国移动10086官方微博,#377EB8
Flyme,#377EB8
午后狂睡_Silent,#FFFF33
ePrice比价王,#E41A1C
iOS频道,#F781BF
华海良,#984EA3
烈枫,#999999
魅族科技,#FFFF33
PP助手,#E41A1C
孙昌旭,#FF7F00
